symbol,yf_symbol,exchange,sector,notes,active
TMPV,TMPV.NS,NSE,Automobile and Auto Components,,True
TATAPOWER,TATAPOWER.NS,NSE,Power,,True
TATASTEEL,TATASTEEL.NS,NSE,Metals & Mining,,True
TATATECH,TATATECH.NS,NSE,Information Technology,,True
TTML,TTML.NS,NSE,Telecommunication,,True
TECHM,TECHM.NS,NSE,Information Technology,,True
TECHNOE,TECHNOE.NS,NSE,Construction,,True
TEGA,TEGA.NS,NSE,Capital Goods,,True
TEJASNET,TEJASNET.NS,NSE,Telecommunication,,True
TENNIND,TENNIND.NS,NSE,Automobile and Auto Components,,True
NIACL,NIACL.NS,NSE,Financial Services,,True
RAMCOCEM,RAMCOCEM.NS,NSE,Construction Materials,,True
THERMAX,THERMAX.NS,NSE,Capital Goods,,True
TIMKEN,TIMKEN.NS,NSE,Capital Goods,,True
TITAGARH,TITAGARH.NS,NSE,Capital Goods,,True
TITAN,TITAN.NS,NSE,Consumer Durables,,True
TORNTPHARM,TORNTPHARM.NS,NSE,Healthcare,,True
TORNTPOWER,TORNTPOWER.NS,NSE,Power,,True
TARIL,TARIL.NS,NSE,Capital Goods,,True
TRAVELFOOD,TRAVELFOOD.NS,NSE,Consumer Services,,True
TRENT,TRENT.NS,NSE,Consumer Services,,True
TRIDENT,TRIDENT.NS,NSE,Textiles,,True
TRITURBINE,TRITURBINE.NS,NSE,Capital Goods,,True
TIINDIA,TIINDIA.NS,NSE,Automobile and Auto Components,,True
UCOBANK,UCOBANK.NS,NSE,Financial Services,,True
UNOMINDA,UNOMINDA.NS,NSE,Automobile and Auto Components,,True
UPL,UPL.NS,NSE,Chemicals,,True
UTIAMC,UTIAMC.NS,NSE,Financial Services,,True
ULTRACEMCO,ULTRACEMCO.NS,NSE,Construction Materials,,True
UNIONBANK,UNIONBANK.NS,NSE,Financial Services,,True
UBL,UBL.NS,NSE,Fast Moving Consumer Goods,,True
UNITDSPR,UNITDSPR.NS,NSE,Fast Moving Consumer Goods,,True
URBANCO,URBANCO.NS,NSE,Consumer Services,,True
USHAMART,USHAMART.NS,NSE,Capital Goods,,True
VTL,VTL.NS,NSE,Textiles,,True
VBL,VBL.NS,NSE,Fast Moving Consumer Goods,,True
VEDL,VEDL.NS,NSE,Metals & Mining,,True
VIJAYA,VIJAYA.NS,NSE,Healthcare,,True
VMM,VMM.NS,NSE,Consumer Services,,True
IDEA,IDEA.NS,NSE,Telecommunication,,True
VOLTAS,VOLTAS.NS,NSE,Consumer Durables,,True
WAAREEENER,WAAREEENER.NS,NSE,Capital Goods,,True
WELCORP,WELCORP.NS,NSE,Capital Goods,,True
WELSPUNLIV,WELSPUNLIV.NS,NSE,Textiles,,True
WHIRLPOOL,WHIRLPOOL.NS,NSE,Consumer Durables,,True
WIPRO,WIPRO.NS,NSE,Information Technology,,True
WOCKPHARMA,WOCKPHARMA.NS,NSE,Healthcare,,True
YESBANK,YESBANK.NS,NSE,Financial Services,,True
ZFCVINDIA,ZFCVINDIA.NS,NSE,Automobile and Auto Components,,True
ZEEL,ZEEL.NS,NSE,Media Entertainment & Publication,,True
ZENTEC,ZENTEC.NS,NSE,Capital Goods,,True
ZENSARTECH,ZENSARTECH.NS,NSE,Information Technology,,True
ZYDUSLIFE,ZYDUSLIFE.NS,NSE,Healthcare,,True
ZYDUSWELL,ZYDUSWELL.NS,NSE,Fast Moving Consumer Goods,,True
ECLERX,ECLERX.NS,NSE,Services,,True
