symbol,yf_symbol,exchange,sector,notes,active
CRISIL,CRISIL.NS,NSE,Financial Services,,True
CANFINHOME,CANFINHOME.NS,NSE,Financial Services,,True
CANBK,CANBK.NS,NSE,Financial Services,,True
CANHLIFE,CANHLIFE.NS,NSE,Financial Services,,True
CAPLIPOINT,CAPLIPOINT.NS,NSE,Healthcare,,True
CGCL,CGCL.NS,NSE,Financial Services,,True
CARBORUNIV,CARBORUNIV.NS,NSE,Capital Goods,,True
CARTRADE,CARTRADE.NS,NSE,Consumer Services,,True
CASTROLIND,CASTROLIND.NS,NSE,Oil Gas & Consumable Fuels,,True
CEATLTD,CEATLTD.NS,NSE,Automobile and Auto Components,,True
CEMPRO,CEMPRO.NS,NSE,Construction,,True
CENTRALBK,CENTRALBK.NS,NSE,Financial Services,,True
CDSL,CDSL.NS,NSE,Financial Services,,True
CHALET,CHALET.NS,NSE,Consumer Services,,True
CHAMBLFERT,CHAMBLFERT.NS,NSE,Chemicals,,True
CHENNPETRO,CHENNPETRO.NS,NSE,Oil Gas & Consumable Fuels,,True
CHOICEIN,CHOICEIN.NS,NSE,Financial Services,,True
CHOLAHLDNG,CHOLAHLDNG.NS,NSE,Financial Services,,True
CHOLAFIN,CHOLAFIN.NS,NSE,Financial Services,,True
CIPLA,CIPLA.NS,NSE,Healthcare,,True
CUB,CUB.NS,NSE,Financial Services,,True
CLEAN,CLEAN.NS,NSE,Chemicals,,True
COALINDIA,COALINDIA.NS,NSE,Oil Gas & Consumable Fuels,,True
COCHINSHIP,COCHINSHIP.NS,NSE,Capital Goods,,True
COFORGE,COFORGE.NS,NSE,Information Technology,,True
COHANCE,COHANCE.NS,NSE,Healthcare,,True
COLPAL,COLPAL.NS,NSE,Fast Moving Consumer Goods,,True
CAMS,CAMS.NS,NSE,Financial Services,,True
CONCORDBIO,CONCORDBIO.NS,NSE,Healthcare,,True
CONCOR,CONCOR.NS,NSE,Services,,True
COROMANDEL,COROMANDEL.NS,NSE,Chemicals,,True
CRAFTSMAN,CRAFTSMAN.NS,NSE,Automobile and Auto Components,,True
CREDITACC,CREDITACC.NS,NSE,Financial Services,,True
CROMPTON,CROMPTON.NS,NSE,Consumer Durables,,True
CUMMINSIND,CUMMINSIND.NS,NSE,Capital Goods,,True
CYIENT,CYIENT.NS,NSE,Information Technology,,True
DCMSHRIRAM,DCMSHRIRAM.NS,NSE,Diversified,,True
DLF,DLF.NS,NSE,Realty,,True
DOMS,DOMS.NS,NSE,Fast Moving Consumer Goods,,True
DABUR,DABUR.NS,NSE,Fast Moving Consumer Goods,,True
DALBHARAT,DALBHARAT.NS,NSE,Construction Materials,,True
DATAPATTNS,DATAPATTNS.NS,NSE,Capital Goods,,True
DEEPAKFERT,DEEPAKFERT.NS,NSE,Chemicals,,True
DEEPAKNTR,DEEPAKNTR.NS,NSE,Chemicals,,True
DELHIVERY,DELHIVERY.NS,NSE,Services,,True
DEVYANI,DEVYANI.NS,NSE,Consumer Services,,True
DIVISLAB,DIVISLAB.NS,NSE,Healthcare,,True
DIXON,DIXON.NS,NSE,Consumer Durables,,True
LALPATHLAB,LALPATHLAB.NS,NSE,Healthcare,,True
DRREDDY,DRREDDY.NS,NSE,Healthcare,,True
EIDPARRY,EIDPARRY.NS,NSE,Fast Moving Consumer Goods,,True
EIHOTEL,EIHOTEL.NS,NSE,Consumer Services,,True
EICHERMOT,EICHERMOT.NS,NSE,Automobile and Auto Components,,True
ELECON,ELECON.NS,NSE,Capital Goods,,True
ELGIEQUIP,ELGIEQUIP.NS,NSE,Capital Goods,,True
EMAMILTD,EMAMILTD.NS,NSE,Fast Moving Consumer Goods,,True
EMCURE,EMCURE.NS,NSE,Healthcare,,True
EMMVEE,EMMVEE.NS,NSE,Capital Goods,,True
ENDURANCE,ENDURANCE.NS,NSE,Automobile and Auto Components,,True
ENGINERSIN,ENGINERSIN.NS,NSE,Construction,,True
ERIS,ERIS.NS,NSE,Healthcare,,True
ESCORTS,ESCORTS.NS,NSE,Capital Goods,,True
ETERNAL,ETERNAL.NS,NSE,Consumer Services,,True
EXIDEIND,EXIDEIND.NS,NSE,Automobile and Auto Components,,True
NYKAA,NYKAA.NS,NSE,Consumer Services,,True
FEDERALBNK,FEDERALBNK.NS,NSE,Financial Services,,True
FACT,FACT.NS,NSE,Chemicals,,True
FINCABLES,FINCABLES.NS,NSE,Capital Goods,,True
FSL,FSL.NS,NSE,Services,,True
FIVESTAR,FIVESTAR.NS,NSE,Financial Services,,True
FORCEMOT,FORCEMOT.NS,NSE,Automobile and Auto Components,,True
FORTIS,FORTIS.NS,NSE,Healthcare,,True
GAIL,GAIL.NS,NSE,Oil Gas & Consumable Fuels,,True
GVT&D,GVT&D.NS,NSE,Capital Goods,,True
GMRAIRPORT,GMRAIRPORT.NS,NSE,Services,,True
GABRIEL,GABRIEL.NS,NSE,Automobile and Auto Components,,True
GALLANTT,GALLANTT.NS,NSE,Capital Goods,,True
GRSE,GRSE.NS,NSE,Capital Goods,,True
GICRE,GICRE.NS,NSE,Financial Services,,True
GILLETTE,GILLETTE.NS,NSE,Fast Moving Consumer Goods,,True
GLAND,GLAND.NS,NSE,Healthcare,,True
GLAXO,GLAXO.NS,NSE,Healthcare,,True
GLENMARK,GLENMARK.NS,NSE,Healthcare,,True
MEDANTA,MEDANTA.NS,NSE,Healthcare,,True
GODIGIT,GODIGIT.NS,NSE,Financial Services,,True
GPIL,GPIL.NS,NSE,Capital Goods,,True
GODFRYPHLP,GODFRYPHLP.NS,NSE,Fast Moving Consumer Goods,,True
GODREJCP,GODREJCP.NS,NSE,Fast Moving Consumer Goods,,True
GODREJIND,GODREJIND.NS,NSE,Diversified,,True
GODREJPROP,GODREJPROP.NS,NSE,Realty,,True
GRANULES,GRANULES.NS,NSE,Healthcare,,True
GRAPHITE,GRAPHITE.NS,NSE,Capital Goods,,True
GRASIM,GRASIM.NS,NSE,Construction Materials,,True
GRAVITA,GRAVITA.NS,NSE,Metals & Mining,,True
GESHIP,GESHIP.NS,NSE,Services,,True
FLUOROCHEM,FLUOROCHEM.NS,NSE,Chemicals,,True
GMDCLTD,GMDCLTD.NS,NSE,Metals & Mining,,True
HEG,HEG.NS,NSE,Capital Goods,,True
HBLENGINE,HBLENGINE.NS,NSE,Capital Goods,,True
HCLTECH,HCLTECH.NS,NSE,Information Technology,,True
HDBFS,HDBFS.NS,NSE,Financial Services,,True
HDFCAMC,HDFCAMC.NS,NSE,Financial Services,,True
HDFCBANK,HDFCBANK.NS,NSE,Financial Services,,True
HDFCLIFE,HDFCLIFE.NS,NSE,Financial Services,,True
HFCL,HFCL.NS,NSE,Telecommunication,,True
HAVELLS,HAVELLS.NS,NSE,Consumer Durables,,True
HEROMOTOCO,HEROMOTOCO.NS,NSE,Automobile and Auto Components,,True
HEXT,HEXT.NS,NSE,Information Technology,,True
HSCL,HSCL.NS,NSE,Chemicals,,True
HINDALCO,HINDALCO.NS,NSE,Metals & Mining,,True
HAL,HAL.NS,NSE,Capital Goods,,True
HINDCOPPER,HINDCOPPER.NS,NSE,Metals & Mining,,True
HINDPETRO,HINDPETRO.NS,NSE,Oil Gas & Consumable Fuels,,True
HINDUNILVR,HINDUNILVR.NS,NSE,Fast Moving Consumer Goods,,True
HINDZINC,HINDZINC.NS,NSE,Metals & Mining,,True
POWERINDIA,POWERINDIA.NS,NSE,Capital Goods,,True
HOMEFIRST,HOMEFIRST.NS,NSE,Financial Services,,True
HONASA,HONASA.NS,NSE,Fast Moving Consumer Goods,,True
HONAUT,HONAUT.NS,NSE,Capital Goods,,True
HUDCO,HUDCO.NS,NSE,Financial Services,,True
HYUNDAI,HYUNDAI.NS,NSE,Automobile and Auto Components,,True
ICICIBANK,ICICIBANK.NS,NSE,Financial Services,,True
ICICIGI,ICICIGI.NS,NSE,Financial Services,,True
ICICIAMC,ICICIAMC.NS,NSE,Financial Services,,True
ICICIPRULI,ICICIPRULI.NS,NSE,Financial Services,,True
IDBI,IDBI.NS,NSE,Financial Services,,True
IDFCFIRSTB,IDFCFIRSTB.NS,NSE,Financial Services,,True
IFCI,IFCI.NS,NSE,Financial Services,,True
IIFL,IIFL.NS,NSE,Financial Services,,True
IRB,IRB.NS,NSE,Construction,,True
IRCON,IRCON.NS,NSE,Construction,,True
ITCHOTELS,ITCHOTELS.NS,NSE,Consumer Services,,True
ITC,ITC.NS,NSE,Fast Moving Consumer Goods,,True
ITI,ITI.NS,NSE,Telecommunication,,True
INDGN,INDGN.NS,NSE,Healthcare,,True
INDIACEM,INDIACEM.NS,NSE,Construction Materials,,True
INDIAMART,INDIAMART.NS,NSE,Consumer Services,,True
INDIANB,INDIANB.NS,NSE,Financial Services,,True
IEX,IEX.NS,NSE,Financial Services,,True
INDHOTEL,INDHOTEL.NS,NSE,Consumer Services,,True
IOC,IOC.NS,NSE,Oil Gas & Consumable Fuels,,True
