symbol,sector,weekly_close,weekly_ema20,rsi5,support_zone_price,scan_date
ENDURANCE,Automobile and Auto Components,2585.0,2541.97,29.8,2550.27,2026-07-01
TATATECH,Information Technology,667.0,663.4,12.26,668.87,2026-07-01
