symbol,entry_date,entry_time,prev_close,gap_pct,first_candle_high,first_candle_low,entry,sl,tp,quantity,position_value,risk_amount,exit_date,exit_time,exit_price,exit_reason,pnl_rupees,r_multiple,holding_days
FINCABLES,2026-06-22,2026-06-22 09:15:00,1164.3,1.18,1200.0,1162.1,1201.2,1162.1,1259.85,63,75675.6,2463.3,2026-06-23,2026-06-23 11:15:00,1162.1,SL_HIT,-2463.3,-1.0,1
FSL,2026-05-25,2026-05-25 09:15:00,268.6,1.27,282.05,266.02,282.33,266.02,306.79,153,43196.49,2495.43,2026-05-27,2026-05-27 09:15:00,266.02,SL_HIT,-2495.43,-1.0,2
FIVESTAR,2026-06-15,2026-06-15 09:15:00,439.15,4.29,475.2,450.25,475.68,450.25,513.83,98,46616.64,2492.14,2026-06-18,2026-06-18 12:15:00,513.83,TP_HIT,3738.7,1.5,3
GAIL,2026-05-25,2026-05-25 09:15:00,160.77,1.34,170.5,162.7,170.67,162.7,182.62,313,53419.71,2494.61,2026-05-29,2026-05-29 15:15:00,165.81,TIME_EXIT,-1521.18,-0.61,4
GAIL,2026-06-15,2026-06-15 09:15:00,170.5,1.47,176.3,172.11,176.48,172.11,183.03,566,99887.68,2473.42,2026-06-18,2026-06-18 15:15:00,176.0,TIME_EXIT,-271.68,-0.11,3
GVT&D,2026-05-20,2026-05-20 09:15:00,4385.3,1.48,4778.9,4414.3,4783.68,4414.3,5337.75,6,28702.08,2216.28,2026-05-25,2026-05-25 15:15:00,4770.0,TIME_EXIT,-82.08,-0.04,5
GMRAIRPORT,2026-05-29,2026-05-29 09:15:00,97.84,4.25,104.14,99.56,104.24,99.56,111.26,534,55664.16,2499.12,2026-06-01,2026-06-01 09:15:00,99.56,SL_HIT,-2499.12,-1.0,3
GMRAIRPORT,2026-06-16,2026-06-16 09:15:00,106.66,1.13,110.5,107.63,110.61,107.63,115.08,838,92691.18,2497.24,2026-06-17,2026-06-17 09:15:00,107.63,SL_HIT,-2497.24,-1.0,1
GABRIEL,2026-06-15,2026-06-15 09:15:00,1040.6,2.06,1083.2,1055.7,1084.28,1055.7,1127.15,87,94332.36,2486.46,2026-06-16,2026-06-16 09:15:00,1127.15,TP_HIT,3729.69,1.5,1
GABRIEL,2026-06-22,2026-06-22 09:15:00,1197.4,1.47,1234.0,1209.0,1235.23,1209.0,1274.58,80,98818.4,2098.4,2026-06-23,2026-06-23 15:15:00,1209.0,SL_HIT,-2098.4,-1.0,1
