symbol,entry_date,entry_time,prev_close,gap_pct,first_candle_high,first_candle_low,entry,sl,tp,quantity,position_value,risk_amount,exit_date,exit_time,exit_price,exit_reason,pnl_rupees,r_multiple,holding_days
ABDL,2026-05-07,2026-05-07 09:15:00,544.8,1.51,572.0,552.2,572.57,552.2,603.12,122,69853.54,2485.14,2026-05-11,2026-05-11 15:15:00,588.25,TIME_EXIT,1912.96,0.77,4
ARE&M,2026-05-26,2026-05-26 09:15:00,883.4,1.09,924.3,890.0,925.22,890.0,978.05,70,64765.4,2465.4,2026-05-27,2026-05-27 09:15:00,890.0,SL_HIT,-2465.4,-1.0,1
AMBER,2026-05-21,2026-05-21 09:15:00,7049.5,1.43,7263.0,7120.0,7270.26,7120.0,7495.65,13,94513.38,1953.38,2026-05-22,2026-05-22 09:15:00,7495.65,TP_HIT,2930.07,1.5,1
ANANDRATHI,2026-06-22,2026-06-22 09:15:00,1867.5,1.74,1940.0,1863.1,1941.94,1863.1,2060.2,31,60200.14,2444.04,2026-06-25,2026-06-25 11:15:00,1863.1,SL_HIT,-2444.04,-1.0,3
ANANTRAJ,2026-05-06,2026-05-06 09:15:00,520.45,1.07,535.75,525.1,536.29,525.1,553.07,186,99749.94,2081.34,2026-05-07,2026-05-07 09:15:00,553.07,TP_HIT,3121.08,1.5,1
ANANTRAJ,2026-06-01,2026-06-01 09:15:00,514.15,1.53,548.65,517.0,549.2,517.0,597.5,77,42288.4,2479.4,2026-06-04,2026-06-04 15:15:00,591.0,TIME_EXIT,3218.6,1.3,3
ANGELONE,2026-06-15,2026-06-15 09:15:00,339.5,1.33,354.0,342.85,354.35,342.85,371.6,217,76893.95,2495.5,2026-06-18,2026-06-18 15:15:00,353.8,TIME_EXIT,-119.35,-0.05,3
ANTHEM,2026-05-20,2026-05-20 09:15:00,787.35,1.73,819.65,796.6,820.47,796.6,856.28,104,85328.88,2482.48,2026-05-21,2026-05-21 09:15:00,796.6,SL_HIT,-2482.48,-1.0,1
ANTHEM,2026-06-18,2026-06-18 09:15:00,767.5,2.27,811.0,784.95,811.81,784.95,852.1,93,75498.33,2497.98,2026-06-19,2026-06-19 14:15:00,784.95,SL_HIT,-2497.98,-1.0,1
ANTHEM,2026-07-02,2026-07-02 09:15:00,763.1,1.09,780.0,771.3,780.78,771.3,795.0,128,99939.84,1213.44,2026-07-03,2026-07-03 10:15:00,771.3,SL_HIT,-1213.44,-1.0,1
APARINDS,2026-06-12,2026-06-12 09:15:00,14551.0,1.87,15243.0,14733.0,15258.24,14733.0,16046.1,4,61032.96,2100.96,2026-06-15,2026-06-15 09:15:00,16046.1,TP_HIT,3151.44,1.5,3
APARINDS,2026-06-15,2026-06-15 09:15:00,15221.0,2.49,16106.0,15373.0,16122.11,15373.0,17245.78,3,48366.33,2247.33,2026-06-18,2026-06-18 15:15:00,15700.0,TIME_EXIT,-1266.33,-0.56,3
APARINDS,2026-06-23,2026-06-23 09:15:00,16172.0,1.29,16736.0,16368.0,16752.74,16368.0,17329.85,5,83763.7,1923.7,2026-06-25,2026-06-25 10:15:00,16368.0,SL_HIT,-1923.7,-1.0,2
APOLLOHOSP,2026-05-21,2026-05-21 09:15:00,8078.5,1.49,8388.0,8051.5,8396.39,8051.5,8913.72,7,58774.73,2414.23,2026-05-25,2026-05-25 15:15:00,8400.0,TIME_EXIT,25.27,0.01,4
APOLLOTYRE,2026-06-17,2026-06-17 09:15:00,416.45,1.81,431.15,421.15,431.58,421.15,447.23,231,99694.98,2409.33,2026-06-19,2026-06-19 14:15:00,421.15,SL_HIT,-2409.33,-1.0,2
APTUS,2026-05-07,2026-05-07 09:15:00,267.4,1.72,293.9,270.15,294.19,270.15,330.25,103,30301.57,2476.12,2026-05-11,2026-05-11 15:15:00,284.2,TIME_EXIT,-1028.97,-0.42,4
ASIANPAINT,2026-05-13,2026-05-13 09:15:00,2505.5,1.94,2620.7,2554.0,2623.32,2554.0,2727.3,36,94439.52,2495.52,2026-05-18,2026-05-18 15:15:00,2605.6,TIME_EXIT,-637.92,-0.26,5
ASIANPAINT,2026-06-01,2026-06-01 09:15:00,2671.6,2.28,2778.8,2713.1,2781.58,2713.1,2884.3,35,97355.3,2396.8,2026-06-02,2026-06-02 09:15:00,2713.1,SL_HIT,-2396.8,-1.0,1
ATHERENERG,2026-05-29,2026-05-29 09:15:00,955.5,1.51,1000.0,961.25,1001.0,961.25,1060.62,62,62062.0,2464.5,2026-06-01,2026-06-01 09:15:00,961.25,SL_HIT,-2464.5,-1.0,3
AIIL,2026-05-14,2026-05-14 09:15:00,478.5,1.46,496.0,482.0,496.5,482.0,518.25,172,85398.0,2494.0,2026-05-18,2026-05-18 15:15:00,497.5,TIME_EXIT,172.0,0.07,4
AIIL,2026-06-12,2026-06-12 09:15:00,459.95,1.95,514.0,467.7,514.51,467.7,584.73,53,27269.03,2480.93,2026-06-15,2026-06-15 15:15:00,560.95,TIME_EXIT,2461.32,0.99,3
