symbol,entry_date,high_52wk,breakout_level,entry,sl,tp,quantity,position_value,risk_amount,volume_ratio,exit_date,exit_price,exit_reason,pnl_rupees,r_multiple,holding_days
APOLLOTYRE,2023-05-04,357.0,357.71,359.75,357.0,365.25,277,99650.75,761.75,1.96,2023-05-05,365.25,TP_HIT,1523.5,2.0,1
APOLLOTYRE,2023-05-08,371.8,372.54,376.25,371.8,385.15,265,99706.25,1179.25,1.82,2023-05-10,371.8,SL_HIT,-1179.25,-1.0,2
APOLLOTYRE,2023-06-09,399.85,400.65,405.3,399.85,416.2,246,99703.8,1340.7,1.73,2023-06-21,416.2,TP_HIT,2681.4,2.0,12
APOLLOTYRE,2023-07-10,427.6,428.46,428.85,427.6,431.35,233,99922.05,291.25,1.84,2023-07-11,427.6,SL_HIT,-291.25,-1.0,1
APOLLOTYRE,2023-12-01,440.9,441.78,442.45,440.9,445.55,226,99993.7,350.3,1.82,2023-12-04,445.55,TP_HIT,700.6,2.0,3
APOLLOTYRE,2024-01-18,485.0,485.97,500.05,485.0,530.15,166,83008.3,2498.3,3.52,2024-01-20,530.15,TP_HIT,4996.6,2.0,2
APTUS,2023-12-11,320.0,320.64,330.1,320.0,350.3,247,81534.7,2494.7,3.64,2023-12-20,320.0,SL_HIT,-2494.7,-1.0,9
APTUS,2024-01-11,343.0,343.69,344.05,343.0,346.15,290,99774.5,304.5,3.58,2024-01-12,343.0,SL_HIT,-304.5,-1.0,1
APTUS,2024-01-18,351.35,352.05,363.0,351.35,386.3,214,77682.0,2493.1,4.44,2024-01-24,351.35,SL_HIT,-2493.1,-1.0,6
ASAHIINDIA,2022-08-24,612.9,614.13,623.2,612.9,643.8,160,99712.0,1648.0,6.67,2022-08-25,643.8,TP_HIT,3296.0,2.0,1
ASAHIINDIA,2024-06-18,660.0,661.32,669.55,660.0,688.65,149,99762.95,1422.95,21.31,2024-06-19,660.0,SL_HIT,-1422.95,-1.0,1
ASAHIINDIA,2024-06-24,690.0,691.38,708.85,690.0,746.55,132,93568.2,2488.2,4.72,2024-06-26,690.0,SL_HIT,-2488.2,-1.0,2
ASAHIINDIA,2024-09-20,722.0,723.44,777.55,722.0,888.65,45,34989.75,2499.75,34.01,2024-10-07,722.0,SL_HIT,-2499.75,-1.0,17
ASAHIINDIA,2025-11-24,1012.5,1014.52,1052.65,1012.5,1132.95,62,65264.3,2489.3,28.7,2025-11-26,1012.5,SL_HIT,-2489.3,-1.0,2
ASHOKLEY,2022-09-01,76.65,76.8,78.9,76.65,83.4,1111,87657.9,2499.75,3.33,2022-09-16,76.65,SL_HIT,-2499.75,-1.0,15
ASHOKLEY,2023-07-21,85.7,85.87,88.45,85.7,93.95,909,80401.05,2499.75,4.42,2023-08-07,89.05,TIME_EXIT,545.4,0.22,17
ASHOKLEY,2024-04-30,94.0,94.19,96.3,94.0,100.9,1038,99959.4,2387.4,3.25,2024-05-02,100.9,TP_HIT,4774.8,2.0,2
ASHOKLEY,2024-05-27,109.7,109.92,113.35,109.7,120.65,684,77531.4,2496.6,3.73,2024-05-30,109.7,SL_HIT,-2496.6,-1.0,3
ASHOKLEY,2024-07-26,122.85,123.1,123.2,122.85,123.9,811,99915.2,283.85,4.0,2024-07-29,123.9,TP_HIT,567.7,2.0,3
ASHOKLEY,2025-08-19,132.8,133.07,133.28,132.8,134.24,750,99960.0,360.0,3.23,2025-08-20,132.8,SL_HIT,-360.0,-1.0,1
ASHOKLEY,2025-09-08,134.31,134.58,137.29,134.31,143.25,728,99947.12,2169.44,1.9,2025-09-10,134.31,SL_HIT,-2169.44,-1.0,2
ASHOKLEY,2025-09-19,139.5,139.78,140.89,139.5,143.67,709,99891.01,985.51,1.97,2025-09-22,139.5,SL_HIT,-985.51,-1.0,3
ASHOKLEY,2025-09-23,142.63,142.92,144.04,142.63,146.86,694,99963.76,978.54,2.75,2025-09-24,142.63,SL_HIT,-978.54,-1.0,1
ASHOKLEY,2025-11-11,144.5,144.79,146.04,144.5,149.12,684,99891.36,1053.36,1.63,2025-11-12,144.5,SL_HIT,-1053.36,-1.0,1
ASHOKLEY,2025-11-13,147.6,147.9,150.41,147.6,156.03,664,99872.24,1865.84,4.47,2025-11-14,147.6,SL_HIT,-1865.84,-1.0,1
ASHOKLEY,2025-11-27,152.94,153.25,159.75,152.94,173.37,367,58628.25,2499.27,5.85,2025-12-12,163.86,TIME_EXIT,1508.37,0.6,15
ASHOKLEY,2026-01-01,180.34,180.7,184.88,180.34,193.96,540,99835.2,2451.6,1.72,2026-01-16,184.25,TIME_EXIT,-340.2,-0.14,15
ASHOKLEY,2026-01-23,191.8,192.18,192.98,191.8,195.34,518,99963.64,611.24,1.92,2026-01-27,191.8,SL_HIT,-611.24,-1.0,4
ASTERDM,2022-09-06,244.3,244.79,250.1,244.3,261.7,399,99789.9,2314.2,5.9,2022-09-08,261.7,TP_HIT,4628.4,2.0,2
ASTERDM,2022-11-03,267.6,268.14,269.55,267.6,273.45,370,99733.5,721.5,2.73,2022-11-04,267.6,SL_HIT,-721.5,-1.0,1
ASTERDM,2023-05-25,275.6,276.15,278.15,275.6,283.25,359,99855.85,915.45,9.66,2023-05-26,275.6,SL_HIT,-915.45,-1.0,1
ASTERDM,2023-06-14,294.25,294.84,299.4,294.25,309.7,334,99999.6,1720.1,3.9,2023-06-16,294.25,SL_HIT,-1720.1,-1.0,2
ASTERDM,2023-07-04,307.95,308.57,325.7,307.95,361.2,140,45598.0,2485.0,19.32,2023-07-13,307.95,SL_HIT,-2485.0,-1.0,9
ASTERDM,2023-10-25,354.95,355.66,356.9,354.95,360.8,280,99932.0,546.0,1.78,2023-10-26,354.95,SL_HIT,-546.0,-1.0,1
ASTERDM,2023-11-29,371.25,371.99,395.45,371.25,443.85,103,40731.35,2492.6,63.63,2023-12-14,398.5,TIME_EXIT,314.15,0.13,15
ASTERDM,2024-02-15,459.95,460.87,473.65,459.95,501.05,182,86204.3,2493.4,4.75,2024-02-26,459.95,SL_HIT,-2493.4,-1.0,11
ASTERDM,2025-05-15,576.75,577.9,581.45,576.75,590.85,171,99427.95,803.7,3.8,2025-05-16,576.75,SL_HIT,-803.7,-1.0,1
ASTERDM,2025-07-03,609.5,610.72,650.05,609.5,731.15,61,39653.05,2473.55,22.8,2025-07-07,609.5,SL_HIT,-2473.55,-1.0,4
ASTERDM,2025-10-08,679.7,681.06,698.55,679.7,736.25,132,92208.6,2488.2,5.92,2025-10-10,679.7,SL_HIT,-2488.2,-1.0,2
ASTERDM,2026-05-04,732.2,733.66,744.85,732.2,770.15,134,99809.9,1695.1,19.36,2026-05-06,732.2,SL_HIT,-1695.1,-1.0,2
ASTERDM,2026-06-09,785.0,786.57,790.35,785.0,801.05,126,99584.1,674.1,3.48,2026-06-10,801.05,TP_HIT,1348.2,2.0,1
ASTRAL,2022-09-09,1904.9,1908.71,1950.5,1904.9,2041.7,51,99475.5,2325.6,3.57,2022-09-12,1904.9,SL_HIT,-2325.6,-1.0,3
ASTRAL,2024-02-23,2058.0,2062.12,2075.9,2058.0,2111.7,48,99643.2,859.2,4.37,2024-02-26,2058.0,SL_HIT,-859.2,-1.0,3
ASTRAL,2024-05-10,2149.4,2153.7,2158.65,2149.4,2177.15,46,99297.9,425.5,2.33,2024-05-13,2149.4,SL_HIT,-425.5,-1.0,3
