symbol,trade_date,entry_time,or_high,or_low,or_range_pct,entry,sl,tp,quantity,position_value,risk_amount,exit_time,exit_price,exit_reason,pnl_rupees,r_multiple,gap_pct
GRASIM,2026-07-02,2026-07-02 14:15:00,3165.0,3134.4,0.98,3165.0,3134.4,3210.9,31,98115.0,948.6,2026-07-02 15:15:00,3170.2,EOD_EXIT,161.2,0.17,0.4
APOLLOHOSP,2026-05-18,2026-05-18 11:15:00,8092.0,8012.5,0.99,8092.0,8012.5,8211.25,12,97104.0,954.0,2026-05-18 14:15:00,8012.5,SL_HIT,-954.0,-1.0,-0.25
APOLLOHOSP,2026-05-27,2026-05-27 14:15:00,8280.5,8205.0,0.92,8280.5,8205.0,8393.75,12,99366.0,906.0,2026-05-27 15:15:00,8266.0,EOD_EXIT,-174.0,-0.19,-0.19
APOLLOHOSP,2026-06-19,2026-06-19 14:15:00,8475.0,8400.0,0.89,8475.0,8400.0,8587.5,11,93225.0,825.0,2026-06-19 15:15:00,8493.5,EOD_EXIT,203.5,0.25,-0.09
APOLLOHOSP,2026-06-25,2026-06-25 12:15:00,8599.0,8535.5,0.74,8599.0,8535.5,8694.25,11,94589.0,698.5,2026-06-25 15:15:00,8593.5,EOD_EXIT,-60.5,-0.09,0.02
CIPLA,2026-05-06,2026-05-06 10:15:00,1343.0,1333.1,0.74,1343.0,1333.1,1357.85,74,99382.0,732.6,2026-05-06 11:15:00,1357.85,TP_HIT,1098.9,1.5,0.47
CIPLA,2026-05-07,2026-05-07 10:15:00,1374.0,1366.0,0.59,1374.0,1366.0,1386.0,72,98928.0,576.0,2026-05-07 11:15:00,1366.0,SL_HIT,-576.0,-1.0,0.41
CIPLA,2026-05-25,2026-05-25 14:15:00,1407.9,1398.5,0.67,1407.9,1398.5,1422.0,71,99960.9,667.4,2026-05-25 15:15:00,1413.3,EOD_EXIT,383.4,0.57,0.49
CIPLA,2026-06-23,2026-06-23 10:15:00,1449.0,1418.8,2.13,1449.0,1418.8,1494.3,69,99981.0,2083.8,2026-06-23 15:15:00,1432.7,EOD_EXIT,-1124.7,-0.54,0.5
CIPLA,2026-06-25,2026-06-25 14:15:00,1448.6,1437.0,0.81,1448.6,1437.0,1466.0,69,99953.4,800.4,2026-06-25 15:15:00,1440.7,EOD_EXIT,-545.1,-0.68,0.7
EICHERMOT,2026-06-02,2026-06-02 12:15:00,7079.5,7019.0,0.86,7079.5,7019.0,7170.25,14,99113.0,847.0,2026-06-02 15:15:00,7139.5,EOD_EXIT,840.0,0.99,-0.44
EICHERMOT,2026-06-03,2026-06-03 14:15:00,7155.0,7055.5,1.41,7155.0,7055.5,7304.25,13,93015.0,1293.5,2026-06-03 15:15:00,7114.0,EOD_EXIT,-533.0,-0.41,-0.03
EICHERMOT,2026-06-09,2026-06-09 12:15:00,7144.5,7050.0,1.34,7144.5,7050.0,7286.25,13,92878.5,1228.5,2026-06-09 15:15:00,7200.0,EOD_EXIT,721.5,0.59,1.24
EICHERMOT,2026-06-23,2026-06-23 14:15:00,7668.0,7626.5,0.54,7668.0,7626.5,7730.25,13,99684.0,539.5,2026-06-23 15:15:00,7572.5,EOD_EXIT,-1241.5,-2.3,-0.12
BPCL,2026-06-24,2026-06-24 14:15:00,312.5,308.2,1.4,312.5,308.2,318.95,320,100000.0,1376.0,2026-06-24 15:15:00,315.6,EOD_EXIT,992.0,0.72,0.1
NESTLEIND,2026-05-19,2026-05-19 11:15:00,1448.4,1422.0,1.86,1448.4,1422.0,1488.0,69,99939.6,1821.6,2026-05-19 15:15:00,1432.5,EOD_EXIT,-1097.1,-0.6,-0.26
NESTLEIND,2026-05-22,2026-05-22 11:15:00,1412.5,1401.2,0.81,1412.5,1401.2,1429.45,70,98875.0,791.0,2026-05-22 12:15:00,1429.45,TP_HIT,1186.5,1.5,0.28
NESTLEIND,2026-05-26,2026-05-26 13:15:00,1426.2,1413.2,0.92,1426.2,1413.2,1445.7,70,99834.0,910.0,2026-05-26 15:15:00,1428.4,EOD_EXIT,154.0,0.17,0.28
NESTLEIND,2026-05-29,2026-05-29 14:15:00,1441.9,1420.5,1.51,1441.9,1420.5,1474.0,69,99491.1,1476.6,2026-05-29 15:15:00,1419.5,EOD_EXIT,-1545.6,-1.05,0.27
NESTLEIND,2026-06-17,2026-06-17 14:15:00,1408.9,1387.1,1.57,1408.9,1387.1,1441.6,70,98623.0,1526.0,2026-06-17 15:15:00,1406.9,EOD_EXIT,-140.0,-0.09,0.02
NESTLEIND,2026-06-19,2026-06-19 13:15:00,1406.7,1394.0,0.91,1406.7,1394.0,1425.75,71,99875.7,901.7,2026-06-19 15:15:00,1417.7,EOD_EXIT,781.0,0.87,-0.46
