symbol,trade_date,entry_time,or_high,or_low,or_range_pct,entry,sl,tp,quantity,position_value,risk_amount,exit_time,exit_price,exit_reason,pnl_rupees,r_multiple,gap_pct
ASIANPAINT,2026-06-12,2026-06-12 13:15:00,2745.0,2711.1,1.25,2745.0,2711.1,2795.85,36,98820.0,1220.4,2026-06-12 15:15:00,2747.9,EOD_EXIT,104.4,0.09,1.29
ASIANPAINT,2026-06-30,2026-06-30 10:15:00,2671.1,2647.0,0.91,2671.1,2647.0,2707.25,37,98830.7,891.7,2026-06-30 14:15:00,2647.0,SL_HIT,-891.7,-1.0,0.04
TITAN,2026-05-08,2026-05-08 13:15:00,4334.6,4278.8,1.3,4334.6,4278.8,4418.3,23,99695.8,1283.4,2026-05-08 14:15:00,4418.3,TP_HIT,1925.1,1.5,0.15
TITAN,2026-06-19,2026-06-19 14:15:00,4429.0,4360.0,1.58,4429.0,4360.0,4532.5,22,97438.0,1518.0,2026-06-19 15:15:00,4430.2,EOD_EXIT,26.4,0.02,-0.64
TITAN,2026-06-24,2026-06-24 14:15:00,4322.9,4275.2,1.12,4322.9,4275.2,4394.45,23,99426.7,1097.1,2026-06-24 15:15:00,4315.8,EOD_EXIT,-163.3,-0.15,-0.08
TITAN,2026-06-30,2026-06-30 14:15:00,4343.6,4275.0,1.6,4343.6,4275.0,4446.5,23,99902.8,1577.8,2026-06-30 15:15:00,4399.6,EOD_EXIT,1288.0,0.82,0.01
ONGC,2026-05-19,2026-05-19 14:15:00,297.2,293.65,1.21,297.2,293.65,302.52,336,99859.2,1192.8,2026-05-19 15:15:00,296.65,EOD_EXIT,-184.8,-0.15,-0.71
ONGC,2026-05-20,2026-05-20 10:15:00,297.5,293.85,1.24,297.5,293.85,302.97,336,99960.0,1226.4,2026-05-20 15:15:00,298.05,EOD_EXIT,184.8,0.15,-0.57
POWERGRID,2026-05-21,2026-05-21 12:15:00,303.9,301.15,0.91,303.9,301.15,308.02,329,99983.1,904.75,2026-05-21 13:15:00,301.15,SL_HIT,-904.75,-1.0,0.83
ADANIENT,2026-06-30,2026-06-30 13:15:00,2994.5,2969.0,0.86,2994.5,2969.0,3032.75,33,98818.5,841.5,2026-06-30 14:15:00,3032.75,TP_HIT,1262.25,1.5,0.59
ADANIENT,2026-07-01,2026-07-01 10:15:00,3052.0,3012.8,1.3,3052.0,3012.8,3110.8,32,97664.0,1254.4,2026-07-01 11:15:00,3110.8,TP_HIT,1881.6,1.5,0.16
JSWSTEEL,2026-05-06,2026-05-06 14:15:00,1269.7,1256.6,1.04,1269.7,1256.6,1289.35,78,99036.6,1021.8,2026-05-06 15:15:00,1273.0,EOD_EXIT,257.4,0.25,0.81
JSWSTEEL,2026-05-12,2026-05-12 10:15:00,1268.6,1251.2,1.39,1268.6,1251.2,1294.7,78,98950.8,1357.2,2026-05-12 12:15:00,1251.2,SL_HIT,-1357.2,-1.0,-0.05
JSWSTEEL,2026-05-13,2026-05-13 12:15:00,1268.5,1255.0,1.08,1268.5,1255.0,1288.75,78,98943.0,1053.0,2026-05-13 15:15:00,1274.9,EOD_EXIT,499.2,0.47,0.22
JSWSTEEL,2026-06-01,2026-06-01 14:15:00,1294.2,1279.5,1.15,1294.2,1279.5,1316.25,77,99653.4,1131.9,2026-06-01 15:15:00,1299.4,EOD_EXIT,400.4,0.35,0.12
JSWSTEEL,2026-06-10,2026-06-10 10:15:00,1266.0,1252.5,1.08,1266.0,1252.5,1286.25,78,98748.0,1053.0,2026-06-10 11:15:00,1286.25,TP_HIT,1579.5,1.5,0.34
JSWSTEEL,2026-06-11,2026-06-11 12:15:00,1277.2,1261.0,1.28,1277.2,1261.0,1301.5,78,99621.6,1263.6,2026-06-11 15:15:00,1283.5,EOD_EXIT,491.4,0.39,-0.3
JSWSTEEL,2026-06-17,2026-06-17 14:15:00,1281.8,1269.1,1.0,1281.8,1269.1,1300.85,78,99980.4,990.6,2026-06-17 15:15:00,1287.6,EOD_EXIT,452.4,0.46,0.45
INDUSINDBK,2026-05-14,2026-05-14 13:15:00,910.75,895.0,1.76,910.75,895.0,934.38,109,99271.75,1716.75,2026-05-14 15:15:00,904.55,EOD_EXIT,-675.8,-0.39,0.28
INDUSINDBK,2026-05-20,2026-05-20 14:15:00,891.7,881.15,1.2,891.7,881.15,907.53,112,99870.4,1181.6,2026-05-20 15:15:00,899.05,EOD_EXIT,823.2,0.7,-1.08
INDUSINDBK,2026-05-26,2026-05-26 13:15:00,927.85,921.0,0.74,927.85,921.0,938.12,107,99279.95,732.95,2026-05-26 15:15:00,933.0,EOD_EXIT,551.05,0.75,0.01
INDUSINDBK,2026-06-02,2026-06-02 12:15:00,906.35,890.45,1.79,906.35,890.45,930.2,110,99698.5,1749.0,2026-06-02 15:15:00,912.35,EOD_EXIT,660.0,0.38,-0.87
INDUSINDBK,2026-06-05,2026-06-05 10:15:00,912.25,896.1,1.8,912.25,896.1,936.47,109,99435.25,1760.35,2026-06-05 15:15:00,905.35,EOD_EXIT,-752.1,-0.43,-0.47
INDUSINDBK,2026-06-12,2026-06-12 13:15:00,902.95,893.5,1.06,902.95,893.5,917.13,110,99324.5,1039.5,2026-06-12 14:15:00,917.13,TP_HIT,1559.8,1.5,1.41
INDUSINDBK,2026-06-15,2026-06-15 10:15:00,939.45,923.1,1.77,939.45,923.1,963.98,106,99581.7,1733.1,2026-06-15 15:15:00,931.7,EOD_EXIT,-821.5,-0.47,0.94
INDUSINDBK,2026-06-19,2026-06-19 14:15:00,939.0,931.2,0.84,939.0,931.2,950.7,106,99534.0,826.8,2026-06-19 15:15:00,945.55,EOD_EXIT,694.3,0.84,-0.03
INDUSINDBK,2026-06-29,2026-06-29 14:15:00,921.5,908.8,1.4,921.5,908.8,940.55,108,99522.0,1371.6,2026-06-29 15:15:00,915.2,EOD_EXIT,-680.4,-0.5,0.0
INDUSINDBK,2026-07-02,2026-07-02 14:15:00,943.3,934.1,0.98,943.3,934.1,957.1,106,99989.8,975.2,2026-07-02 15:15:00,943.85,EOD_EXIT,58.3,0.06,0.0
INDUSINDBK,2026-07-03,2026-07-03 14:15:00,958.65,942.1,1.76,958.65,942.1,983.47,104,99699.6,1721.2,2026-07-03 15:15:00,976.1,EOD_EXIT,1814.8,1.05,0.48
HINDALCO,2026-06-09,2026-06-09 14:15:00,1074.0,1053.8,1.92,1074.0,1053.8,1104.3,93,99882.0,1878.6,2026-06-09 15:15:00,1077.2,EOD_EXIT,297.6,0.16,1.09
HINDALCO,2026-06-19,2026-06-19 14:15:00,1005.8,985.2,2.09,1005.8,985.2,1036.7,99,99574.2,2039.4,2026-06-19 15:15:00,1009.9,EOD_EXIT,405.9,0.2,-1.04
DRREDDY,2026-05-06,2026-05-06 11:15:00,1285.3,1277.1,0.64,1285.3,1277.1,1297.6,77,98968.1,631.4,2026-05-06 12:15:00,1297.6,TP_HIT,947.1,1.5,0.85
DRREDDY,2026-05-12,2026-05-12 10:15:00,1284.3,1266.1,1.44,1284.3,1266.1,1311.6,77,98891.1,1401.4,2026-05-12 15:15:00,1269.5,EOD_EXIT,-1139.6,-0.81,-0.08
DRREDDY,2026-05-25,2026-05-25 14:15:00,1323.7,1310.5,1.01,1323.7,1310.5,1343.5,75,99277.5,990.0,2026-05-25 15:15:00,1332.4,EOD_EXIT,652.5,0.66,0.98
DRREDDY,2026-06-22,2026-06-22 12:15:00,1283.9,1271.2,1.0,1283.9,1271.2,1302.95,77,98860.3,977.9,2026-06-22 13:15:00,1302.95,TP_HIT,1466.85,1.5,0.47
DRREDDY,2026-07-03,2026-07-03 12:15:00,1376.0,1350.3,1.9,1376.0,1350.3,1414.55,72,99072.0,1850.4,2026-07-03 15:15:00,1374.5,EOD_EXIT,-108.0,-0.06,0.77
SUNPHARMA,2026-05-06,2026-05-06 14:15:00,1837.0,1818.4,1.02,1837.0,1818.4,1864.9,54,99198.0,1004.4,2026-05-06 15:15:00,1849.9,EOD_EXIT,696.6,0.69,0.89
SUNPHARMA,2026-05-11,2026-05-11 14:15:00,1868.8,1825.0,2.4,1868.8,1825.0,1934.5,53,99046.4,2321.4,2026-05-11 15:15:00,1873.1,EOD_EXIT,227.9,0.1,-1.12
SUNPHARMA,2026-05-14,2026-05-14 12:15:00,1852.0,1829.7,1.22,1852.0,1829.7,1885.45,53,98156.0,1181.9,2026-05-14 15:15:00,1863.8,EOD_EXIT,625.4,0.53,1.49
SUNPHARMA,2026-05-18,2026-05-18 14:15:00,1881.3,1865.0,0.87,1881.3,1865.0,1905.75,53,99708.9,863.9,2026-05-18 15:15:00,1904.4,EOD_EXIT,1224.3,1.42,0.0
SUNPHARMA,2026-05-21,2026-05-21 14:15:00,1892.0,1870.3,1.16,1892.0,1870.3,1924.55,52,98384.0,1128.4,2026-05-21 15:15:00,1889.8,EOD_EXIT,-114.4,-0.1,0.62
SUNPHARMA,2026-06-05,2026-06-05 12:15:00,1796.0,1781.4,0.82,1796.0,1781.4,1817.9,55,98780.0,803.0,2026-06-05 14:15:00,1781.4,SL_HIT,-803.0,-1.0,0.5
SUNPHARMA,2026-06-10,2026-06-10 14:15:00,1783.8,1771.0,0.72,1783.8,1771.0,1803.0,56,99892.8,716.8,2026-06-10 15:15:00,1786.4,EOD_EXIT,145.6,0.2,0.03
SUNPHARMA,2026-06-12,2026-06-12 14:15:00,1807.0,1792.5,0.81,1807.0,1792.5,1828.75,55,99385.0,797.5,2026-06-12 15:15:00,1808.4,EOD_EXIT,77.0,0.1,0.71
SUNPHARMA,2026-06-17,2026-06-17 14:15:00,1821.6,1808.2,0.74,1821.6,1808.2,1841.7,54,98366.4,723.6,2026-06-17 15:15:00,1820.0,EOD_EXIT,-86.4,-0.12,0.74
SUNPHARMA,2026-06-18,2026-06-18 14:15:00,1829.9,1817.1,0.7,1829.9,1817.1,1849.1,54,98814.6,691.2,2026-06-18 15:15:00,1823.9,EOD_EXIT,-324.0,-0.47,-0.16
SUNPHARMA,2026-06-19,2026-06-19 14:15:00,1839.1,1823.4,0.86,1839.1,1823.4,1862.65,54,99311.4,847.8,2026-06-19 15:15:00,1841.1,EOD_EXIT,108.0,0.13,-0.04
SUNPHARMA,2026-06-22,2026-06-22 14:15:00,1847.1,1834.0,0.71,1847.1,1834.0,1866.75,54,99743.4,707.4,2026-06-22 15:15:00,1862.9,EOD_EXIT,853.2,1.21,0.36
COALINDIA,2026-05-07,2026-05-07 12:15:00,472.4,466.0,1.37,472.4,466.0,482.0,211,99676.4,1350.4,2026-05-07 13:15:00,466.0,SL_HIT,-1350.4,-1.0,0.0
COALINDIA,2026-05-26,2026-05-26 10:15:00,466.55,458.0,1.87,466.55,458.0,479.38,214,99841.7,1829.7,2026-05-26 14:15:00,458.0,SL_HIT,-1829.7,-1.0,0.0
COALINDIA,2026-06-04,2026-06-04 11:15:00,476.6,472.85,0.79,476.6,472.85,482.23,209,99609.4,783.75,2026-06-04 12:15:00,482.23,TP_HIT,1176.67,1.5,0.15
COALINDIA,2026-06-17,2026-06-17 11:15:00,451.5,448.65,0.64,451.5,448.65,455.78,221,99781.5,629.85,2026-06-17 12:15:00,455.78,TP_HIT,945.88,1.5,-0.01
COALINDIA,2026-06-29,2026-06-29 11:15:00,438.95,435.4,0.82,438.95,435.4,444.27,227,99641.65,805.85,2026-06-29 14:15:00,444.27,TP_HIT,1207.64,1.5,0.06
TECHM,2026-05-26,2026-05-26 12:15:00,1413.0,1393.7,1.38,1413.0,1393.7,1441.95,70,98910.0,1351.0,2026-05-26 15:15:00,1423.1,EOD_EXIT,707.0,0.52,-0.13
