datetime,open,high,low,close,volume
2026-05-06 09:15:00+05:30,459.0,499.0,459.0,483.75,8300140
2026-05-06 10:15:00+05:30,483.6,483.75,473.45,476.5,1442868
2026-05-06 11:15:00+05:30,476.5,486.5,476.0,481.6,1187211
2026-05-06 12:15:00+05:30,481.6,485.5,477.15,484.1,669498
2026-05-06 13:15:00+05:30,484.1,484.4,476.5,478.2,493793
2026-05-06 14:15:00+05:30,478.2,484.0,474.15,478.7,1360489
2026-05-06 15:15:00+05:30,478.8,485.0,477.0,483.8,735450
2026-05-07 09:15:00+05:30,486.5,494.2,478.55,486.0,870085
2026-05-07 10:15:00+05:30,486.0,493.3,485.55,487.05,249784
2026-05-07 11:15:00+05:30,487.05,487.2,484.55,485.0,152063
2026-05-07 12:15:00+05:30,485.0,487.0,484.1,485.8,122636
2026-05-07 13:15:00+05:30,485.8,487.35,484.0,484.85,112673
2026-05-07 14:15:00+05:30,484.85,485.95,483.35,483.9,213626
2026-05-07 15:15:00+05:30,483.95,486.0,483.8,485.9,186649
2026-05-08 09:15:00+05:30,484.85,502.35,481.0,492.35,1053044
2026-05-08 10:15:00+05:30,492.3,493.15,489.4,492.4,258830
2026-05-08 11:15:00+05:30,492.4,492.95,490.0,491.25,222370
2026-05-08 12:15:00+05:30,491.35,492.35,489.65,490.05,178655
2026-05-08 13:15:00+05:30,490.0,491.5,489.0,491.1,221765
2026-05-08 14:15:00+05:30,491.1,492.0,486.15,487.45,237845
2026-05-08 15:15:00+05:30,487.5,490.3,484.5,487.9,159469
2026-05-11 09:15:00+05:30,486.0,486.35,465.5,475.2,379852
2026-05-11 10:15:00+05:30,475.2,479.85,474.7,478.0,90277
2026-05-11 11:15:00+05:30,478.0,479.9,476.8,477.5,75755
2026-05-11 12:15:00+05:30,477.5,478.4,475.2,478.25,54434
2026-05-11 13:15:00+05:30,477.8,479.0,477.0,477.0,59837
2026-05-11 14:15:00+05:30,477.0,481.5,476.05,479.0,183963
2026-05-11 15:15:00+05:30,479.1,480.0,478.0,479.0,58338
2026-05-12 09:15:00+05:30,481.0,485.9,463.5,476.7,415497
2026-05-12 10:15:00+05:30,476.35,479.65,473.55,475.65,169579
2026-05-12 11:15:00+05:30,475.65,505.0,474.2,491.8,2058750
2026-05-12 12:15:00+05:30,491.8,498.3,483.2,484.0,1462933
2026-05-12 13:15:00+05:30,484.35,487.6,480.0,482.4,584402
2026-05-12 14:15:00+05:30,482.6,490.95,479.15,486.55,589350
2026-05-12 15:15:00+05:30,486.5,487.0,480.4,481.1,290963
2026-05-13 09:15:00+05:30,448.3,467.3,443.0,464.0,2253159
2026-05-13 10:15:00+05:30,463.75,474.8,457.05,458.8,957444
2026-05-13 11:15:00+05:30,458.75,464.9,458.75,463.0,228415
2026-05-13 12:15:00+05:30,463.0,466.55,454.3,455.2,462621
2026-05-13 13:15:00+05:30,455.2,457.8,454.3,456.55,215726
2026-05-13 14:15:00+05:30,456.4,457.75,452.2,457.35,555722
2026-05-13 15:15:00+05:30,457.15,458.0,456.9,458.0,348537
2026-05-14 09:15:00+05:30,461.0,466.95,450.6,457.5,508888
2026-05-14 10:15:00+05:30,457.45,459.9,450.5,453.95,189240
2026-05-14 11:15:00+05:30,453.95,457.0,451.75,453.7,125297
2026-05-14 12:15:00+05:30,453.75,455.85,449.0,449.7,120548
2026-05-14 13:15:00+05:30,449.95,452.15,448.05,449.1,129268
2026-05-14 14:15:00+05:30,449.1,449.95,445.0,445.95,184019
2026-05-14 15:15:00+05:30,446.8,446.85,442.05,444.95,200448
2026-05-15 09:15:00+05:30,449.8,452.0,431.6,441.95,518706
2026-05-15 10:15:00+05:30,441.65,443.6,435.05,436.05,193513
2026-05-15 11:15:00+05:30,436.05,440.15,432.55,432.75,93265
2026-05-15 12:15:00+05:30,433.0,433.0,429.0,431.0,126273
2026-05-15 13:15:00+05:30,431.0,431.0,427.4,428.85,95721
2026-05-15 14:15:00+05:30,429.0,429.0,420.7,420.7,256558
2026-05-15 15:15:00+05:30,421.05,425.0,416.55,424.95,191001
2026-05-18 09:15:00+05:30,423.2,426.8,411.45,417.0,1725034
2026-05-18 10:15:00+05:30,416.7,423.25,412.1,421.15,453069
2026-05-18 11:15:00+05:30,421.15,422.8,391.05,419.35,846858
2026-05-18 12:15:00+05:30,419.35,421.85,418.05,419.15,114934
2026-05-18 13:15:00+05:30,418.95,422.35,416.2,420.35,210735
2026-05-18 14:15:00+05:30,420.35,434.0,420.0,431.05,461863
2026-05-18 15:15:00+05:30,430.85,431.9,427.05,428.9,150739
2026-05-19 09:15:00+05:30,440.0,464.0,421.6,422.2,6239133
2026-05-19 10:15:00+05:30,422.2,432.85,421.1,422.5,1344034
2026-05-19 11:15:00+05:30,422.6,425.2,418.55,423.85,538775
2026-05-19 12:15:00+05:30,423.85,424.6,422.6,423.15,203774
2026-05-19 13:15:00+05:30,423.0,423.6,419.5,421.6,293673
2026-05-19 14:15:00+05:30,421.5,432.1,420.9,429.95,1082395
2026-05-19 15:15:00+05:30,430.0,430.0,426.9,428.0,494885
2026-05-20 09:15:00+05:30,427.8,428.95,416.6,417.8,402214
2026-05-20 10:15:00+05:30,417.75,419.9,415.15,417.45,160280
